"species","lon","lat"
"Neovison vison",-4.6,40.87
"Neovison vison",-5.55,40.94
"Neovison vison",-5.58,41.48
"Neovison vison",-5.91,41.02
"Neovison vison",-4.36,40.78
"Neovison vison",-5.93,41.47
"Neovison vison",-5.46,41.48
"Neovison vison",-5.45,41.39
"Neovison vison",-5.69,41.48
"Neovison vison",-5.55,40.76
"Neovison vison",-4.6,40.78
"Neovison vison",-5.75,40.03
"Neovison vison",-5.54,40.67
"Neovison vison",-4.49,41.14
"Neovison vison",-4.36,40.69
"Neovison vison",-4.63,42.13
"Neovison vison",-5.29,40.13
"Neovison vison",-5.72,42.02
"Neovison vison",-5.76,40.21
"Neovison vison",-4.26,41.41
"Neovison vison",-4.24,40.69
"Neovison vison",-4.73,41.4
"Neovison vison",-4.36,40.87
"Neovison vison",-4.73,41.31
"Neovison vison",-4.49,41.05
"Neovison vison",-4.88,42.12
"Neovison vison",-4.6,40.96
"Neovison vison",-4.48,40.87
"Neovison vison",-4.5,41.41
"Neovison vison",-4.6,40.69
"Neovison vison",-4.51,41.86
"Neovison vison",-5.68,41.03
"Neovison vison",-4.49,41.23
"Neovison vison",-4.37,41.05
"Neovison vison",-4.24,40.78
"Neovison vison",-4.25,41.05
"Neovison vison",-4.48,40.78
"Neovison vison",-5.43,40.85
"Neovison vison",-4.51,42.22
"Neovison vison",-4.86,41.58
"Neovison vison",-4.28,42.4
"Neovison vison",-5.44,40.94
"Neovison vison",-4.28,42.67
"Neovison vison",-4.74,41.58
"Neovison vison",-4.25,41.23
"Neovison vison",-4.64,42.31
"Neovison vison",-4.62,41.68
"Neovison vison",-4.5,41.77
"Neovison vison",-4.87,42.03
"Neovison vison",-4.25,40.96
"Neovison vison",-4.26,41.77
"Neovison vison",-4,40.42
"Neovison vison",-4.62,41.59
"Neovison vison",-4.27,42.31
"Neovison vison",-4.37,40.96
"Neovison vison",-3.42,40.97
"Neovison vison",-4.39,42.04
"Neovison vison",-4.25,40.87
"Neovison vison",-4.51,41.95
"Neovison vison",-4.25,41.14
"Neovison vison",-4.75,42.12
"Neovison vison",-4.64,42.22
"Neovison vison",-4.5,41.59
"Neovison vison",-4.37,41.14
"Neovison vison",-4.27,42.04
"Neovison vison",-4.75,42.03
"Neovison vison",-3.54,41.24
"Neovison vison",-4.38,41.59
"Neovison vison",-4.12,40.51
"Neovison vison",-4.12,40.33
"Neovison vison",-3.77,40.6
"Neovison vison",-4.27,42.13
"Neovison vison",-4.39,42.22
"Neovison vison",-4.4,42.31
"Neovison vison",-4.12,40.42
"Neovison vison",-4.12,40.6
"Neovison vison",-4,40.51
"Neovison vison",-4.02,41.77
"Neovison vison",-3.65,40.96
"Neovison vison",-3.65,40.78
"Neovison vison",-3.88,40.42
"Neovison vison",-4.28,42.49
"Neovison vison",-4.27,42.22
"Neovison vison",-4.39,41.95
"Neovison vison",-4,40.24
"Neovison vison",-3.42,41.06
"Neovison vison",-4.28,42.58
"Neovison vison",-4.51,42.04
"Neovison vison",-4.38,41.41
"Neovison vison",-3.53,40.88
"Neovison vison",-3.77,40.51
"Neovison vison",-5.02,42.75
"Neovison vison",-3.3,41.33
"Neovison vison",-4,40.33
"Neovison vison",-3.54,41.51
"Neovison vison",-3.41,40.7
"Neovison vison",-3.54,41.06
"Neovison vison",-3.65,40.69
